Borough,Number,Street
Queens,79-10,150 STREET
Queens,55-08,138 STREET
Queens,65-007,173 ST
Queens,60,MALBA DR
Brooklyn,1290,BERGEN AVENUE
Queens,160-47,80 STREET
Queens,36-90,29 ST
Brooklyn,2,ST FELIX STREET
Queens,154-20,35 AV
Queens,26-86,163 STREET
Brooklyn,223,RUTLEDGE ST
Bronx,208,HOSMER AV
Brooklyn,1117,E 27 ST
Queens,35-12,212 STREET
Brooklyn,775,ARGYLE RD
Brooklyn,2148,HENDRICKSON STREET
Brooklyn,2148,OCEAN PARKWAY
Queens,59-096,GRAND AVENUE
Brooklyn,867,70 STREET
Queens,42-53,165 ST
Brooklyn,107,GRANITE ST
Brooklyn,2040,COLEMAN STREET
Queens,89-16,175 STREET
Queens,202-20,53 AVENUE
Queens,109-02,SUTPHIN BOULEVARD
Bronx,724,METCALF AVENUE
Brooklyn,6,LEGION ST
Queens,199-05,17 AVENUE
Queens,-139,61 RD
Queens,76-82,85 DR
Queens,64-33,PERRY AVENUE
Queens,158 05,35 AV
Brooklyn,2328,E 18 STREET
Queens,155,BEACH 126 STREET
Staten Island,597,SEAVIEW AV
Brooklyn,2169,PACIFIC STREET
Brooklyn,450,78 ST
Queens,59-86,58 AVENUE
Queens,85-030,217 ST
Brooklyn,706,DECATUR STREET
Queens,137-38,95 STREET
Brooklyn,1110,EAST  95 STREET
Brooklyn,2121,WEST  9 STREET
Queens,177-28,105 AVENUE
Queens,106-18,INWOOD ST
Brooklyn,5619,AVENUE D
Queens,22-56,80 STREET
Queens,94-92,SUTPHIN BLVD
Brooklyn,2101,WEST 12 STREET
Brooklyn,1678,85 STREET
Queens,230-29,146 AVENUE
Brooklyn,967,ALBEMARLE ROAD
Brooklyn,472,85 ST
Brooklyn,1796,E 22 ST
Brooklyn,964,GATES AV
Brooklyn,2315,FULTON ST
Bronx,195,HOSMER AV
Brooklyn,460,VAN BUREN ST
Brooklyn,12,DE KOVEN COURT
Brooklyn,1498,JEFFERSON AVENUE
Brooklyn,8594,KINGS HWY
Queens,-54,55 AV
Queens,160-54,27 AVENUE
Bronx,606,LONGFELLOW AVENUE
Queens,149-45,82 STREET
Brooklyn,1763,EAST 51 STREET
Brooklyn,120,BEVERLY RD
Brooklyn,6518,12 AVENUE
Queens,30-61,44 ST
Queens,89-27,115 STREET
Brooklyn,692,MAC DONOUGH ST
Queens,88-24,150 STREET
Queens,133-27,83 STREET
Queens,58-46,63 STREET
Manhattan,824,AMSTERDAM AVENUE
Queens,210-16,39 AVENUE
Queens,65-31,WOODHAVEN BOULEVARD
Queens,82-40,62 AVENUE
Queens,105-06,80 ST
Queens,87-11,69 AVENUE
Queens,60-44,60 ROAD
Brooklyn,666,MONROE ST
Queens,25-10,ULMER ST
Manhattan,538,WEST 112 STREET
Brooklyn,201,HERZL STREET
Queens,226-24,UNION TURNPIKE
Manhattan,1026,ST NICHOLAS AVENUE
Queens,68-39,FLEET STREET
Staten Island,107,STORER AV
Queens,125-16,NEWPORT AVENUE
Queens,141-45,79AV
Brooklyn,1303,E 53 ST
Bronx,338,REVERE AVENUE
Brooklyn,1208,E 35 ST
Queens,137-16,70 ROAD
Queens,150-10,MELBOURNE AVENUE
Brooklyn,1151,85 ST
Queens,57-09,CLOVER PLACE
Queens,109-42,CENTREVILLE ST
Queens,72-22,153 STREET
Brooklyn,1982,73 ST
Queens,61-022,LITTLE NECK PARKWAY
Brooklyn,1844,EAST  52 STREET
Queens,219-9,STEWART RD
Queens,60-002,MASPETH AVENUE
Brooklyn,70,ELDERT ST
Queens,184,BEACH 3 ST
Queens,36-55,29 ST
Brooklyn,48,BAY  23 STREET
Queens,42-45,194 STREET
Queens,146-12,107 AVENUE
Brooklyn,2024,82 STREET
Brooklyn,912,66 ST
Queens,144-04,70 ROAD
Brooklyn,940,MYRTLE AV
Queens,105-2,160 ST
Staten Island,333,S RAILROAD ST
Brooklyn,60,CONKLIN AV
Brooklyn,1016,37 ST
Brooklyn,1671,65 ST
Queens,63-38,PLEASANT VIEW STREET
Queens,62-30,WOODHAVEN BOULEVARD
Brooklyn,1749,BAY RIDGE PARKWAY
Brooklyn,879,LENOX ROAD
Queens,146-37,181 STREET
Brooklyn,6447,11 AV
Queens,85-035,214 STREET
Queens,146-25,106 AVENUE
Queens,40-37,157 ST
Brooklyn,1457,41 STREET
Brooklyn,62,BRISTOL ST
Brooklyn,5134,GLENWOOD ROAD
Bronx,3124,SEYMOUR AVENUE
Queens,45-45,156 ST
Brooklyn,1386,E 34 STREET
Queens,77-4,95 AV
Queens,-137,SANFORD AV
Queens,56-055,61 STREET
Queens,142-22,129 AVENUE
Queens,196-07,89 AVENUE
Staten Island,764,IONIA AV
Queens,67-46,GROTON ST
Queens,147-46,72 DRIVE
Queens,30-94,30 ST
Queens,-217,77 AV
Brooklyn,8683,BAY PARKWAY
Brooklyn,615,LENNOX ROAD
Brooklyn,2027,PACIFIC STREET
Queens,78-34,147 STREET
Queens,144-87,177 STREET
Queens,60-50,72 STREET
Brooklyn,1409,80 STREET
Brooklyn,100,EAST  92 STREET
Brooklyn,2082,EAST  57 STREET
Queens,247,BEACH 134 STREET
Brooklyn,1635,ALBANY AVENUE
Brooklyn,1065,74 STREET
Brooklyn,7823,14 AVENUE
Brooklyn,8404,GLENWOOD ROAD
Manhattan,159,EAST  23 STREET
Queens,63-30,75 PL
Brooklyn,526,82 ST
Queens,78-76,67 DR
Brooklyn,470,AVENUE C
Brooklyn,5417,GLENWOOD ROAD
Queens,60-3,255 ST
Queens,37-14,59 STREET
Queens,51-20,SPRINGFIELD BOULEVARD
Queens,114-02,89 AVENUE
Brooklyn,673,QUINCY STREET
Brooklyn,2150,DEAN STREET
Brooklyn,833,E 16 ST
Queens,97-02,133 AVENUE
Brooklyn,1174 1/2,EAST  42 STREET
Queens,38-14,210 STREET
Queens,27-41,BAYSIDE LANE
Queens,80-050,208 st
Brooklyn,9216,7 AVENUE
Queens,7-022,150 STREET
Brooklyn,447,RUGBY ROAD
Brooklyn,8971,15 AV
Bronx,1598,JESUP AVENUE
Manhattan,129,EAST  70 STREET
Queens,93-03,91 AVENUE
Queens,3-33,PARSONS BOULEVARD
Queens,137-57,71 AVENUE
Queens,109-48,164 ST
Brooklyn,235,MARION ST
Queens,14-34,141 STREET
Queens,85-76,211 ST
Queens,145-62,229 STREET
Queens,253,BEACH 130 ST
Brooklyn,1152,E 53 ST
Queens,104-4,95 AV
Queens,101-23,94 STREET
Brooklyn,1157,E 93 ST
Queens,28-06,214 PLACE
Queens,212-009,86 AV
Queens,145-18,182 ST
Queens,108-30,159 ST
Queens,61-12,MAIN STREET
Queens,157-74,25 DRIVE
Queens,163-19,16 ROAD
Brooklyn,672,47 STREET
Brooklyn,209,OCEAN AVENUE
Brooklyn,831,HICKS STREET
Brooklyn,53,BAY  32 STREET
Brooklyn,1395,JEFFERSON AVENUE
Queens,147-36,95 AVENUE
Brooklyn,1978,E 36 ST
Brooklyn,1167,OCEAN AV
Queens,210-14,64 AVENUE
Brooklyn,492,E 17 ST
Staten Island,138,WILSON AVENUE
Brooklyn,287,MAC DOUGAL STREET
Brooklyn,8935,15 AVENUE
Bronx,2755,DEWEY AVENUE
Queens,22-37,80 STREET
Brooklyn,2098,E 3 STREET
Manhattan,740,10 AV
Brooklyn,9150,KINGS HIGHWAY
Queens,123-10,NEWPORT AVENUE
Queens,69-37,QN MIDTOWN EXPRESSWAY SR NORTH
Queens,246-47,CAMBRIA AVENUE
Queens,133-49,126 STREET
Queens,158-08,80 STREET
Brooklyn,914,BEDFORD AV
Queens,28-31,HOBART STREET
Queens,42-21,155 STREET
Queens,90-16,ALBERT RD
Queens,79-003,212 st
Queens,,
Brooklyn,241,DORSET ST
Brooklyn,37,HILLEL PLACE
Brooklyn,666,E 57 ST
Brooklyn,26,PIERREPONT PLACE
Brooklyn,8809,14 AVENUE
Brooklyn,2122,82 STREET
Queens,82-81,61 ROAD
Queens,33-26,212 STREET
Brooklyn,2342,EAST  19 STREET
Brooklyn,2164,WEST ST
Queens,201-09,NORTHERN BOULEVARD
Queens,30-28,47 ST
Staten Island,20,SPRAGUE AV
Manhattan,349,W 86 ST
Brooklyn,4376,17 AV
Brooklyn,4611,AVENUE H
Brooklyn,271,MALCOLM X BOULEVARD
Queens,30-10,208 STREET
Queens,214-84,33 RD
Brooklyn,121,BAY 19 ST
Brooklyn,277,TROUTMAN STREET
Queens,97-03,191 ST
Brooklyn,615,UNION STREET
Queens,88-15,156 AVENUE
Brooklyn,1810,EASTERN PARKWAY
Brooklyn,920,57 STREET
Queens,152-013,88 AVENUE
Queens,20-19,154 STREET
Queens,90-19,ALBERT RD
Queens,90-37,MERRICK BLVD
Brooklyn,2969,FLATBUSH AV
Queens,77-41,VLEIGH PLACE
Staten Island,128,HYLAN BOULEVARD
Queens,30-87,37 ST
Queens,72-06,CADWELL AV
Queens,71-57,72 PL
Brooklyn,760,RUGBY ROAD
Bronx,4507,MURDOCK AVENUE
Brooklyn,731,TROY AVENUE
Brooklyn,7201,15 AVENUE
Queens,60-007,56 DRIVE
Queens,78-95,68 AV
Queens,109-22,139 ST
Brooklyn,1072,83 ST
Brooklyn,1140,EAST  32 STREET
Queens,60-71,60 AV
Queens,25-59,32 ST
Brooklyn,1186,E 49 ST
Queens,226-18,76 RD
Brooklyn,660,E 59 ST
Queens,145-18,229 STREET
Queens,222-16,77 AVENUE
Brooklyn,255,68 ST
Brooklyn,3801,Ave I
Brooklyn,2147,EAST  69 STREET
Queens,59-39,57 DRIVE
Queens,168-11,JEWEL AVENUE
Brooklyn,4704,FOSTER AVENUE
Brooklyn,2213,WEST 6 STREET
Brooklyn,204,STRATFORD RD
Queens,62-09,64 STREET
Brooklyn,1428,E 49 ST
Queens,132-08,81 STREET
Queens,81-22,188 STREET
Brooklyn,767,E 21 ST
Queens,42-41,201 STREET
Queens,10-76,47 RD
Brooklyn,68,LIVINGSTON STREET
Brooklyn,1594,E NEW YORK AV
Queens,109-32,GUY R BREWER BLVD
Queens,53-99,MORENCI LA
Queens,30-69,79 ST
Brooklyn,1898,NEW YORK AVENUE
Brooklyn,1587,E 56 ST
Queens,72-11,61 STREET
Queens,42-16,155 ST
Queens,75-07,60 LANE
Queens,160-45,86 STREET
Queens,4,158 ST
Queens,144-49,NEWPORT AV
Queens,47-48,FRESH MEADOW LANE
Queens,57-35,MAZEAU STREET
Queens,89-26,168 STREET
Manhattan,221,WEST 134 STREET
Brooklyn,189,PROSPECT PARK W
Queens,106-77,PINEGROVE ST
Queens,111-64,179 PLACE
Queens,154-52,24 AVENUE
Brooklyn,155,BAY STREET
Queens,159-39,81 STREET
Queens,27-27,203 STREET
Queens,60-001,56 Drive
Brooklyn,1540,86 ST
Queens,135-75,39 AV
Brooklyn,940,MYRTLE AV
Queens,146-80,GUY R BREWER BOULEVARD
Queens,63-72,74 STREET
Manhattan,57,W 119 ST
Queens,264-26,60 AV
Queens,160-02,LIBERTY AVENUE
Brooklyn,1164,81 STREET
Staten Island,2732,RICHMOND TERRACE
Queens,61-12,COOPER AVENUE
Brooklyn,1826,48 ST
Queens,89-02,199 STREET
Brooklyn,2079,HENDRICKSON ST
Brooklyn,8797,14 AVENUE
Queens,135-07,COOLIDGE AVENUE
Queens,138-22,82 AVENUE
Queens,56-25,NURGE AV
Queens,196-58,67 AVENUE
Manhattan,37,WEST  73 STREET
Queens,61-38,136 STREET
Brooklyn,995,GATES AV
Brooklyn,1537,BAY RIDGE AVENUE
Queens,151-48,17 AVENUE
Brooklyn,1168,64 ST
Queens,28-002,HOBART STREET
Brooklyn,997,E 93 ST
Queens,155-002,LIBERTY AV
Brooklyn,933,BAY RIDGE PKWY
Brooklyn,587,EAST  8 STREET
Brooklyn,2987,AVENUE T
Brooklyn,1801,KIMBALL STREET
Brooklyn,237,ROCKAWAY AVENUE
Queens,-33,172 ST
Queens,101-19,ASCAN AVENUE
Brooklyn,403,EAST 46 STREET
Queens,138-27,77 AVENUE
Queens,28-37,161 STREET
Manhattan,651,W 178 ST
Brooklyn,620,HANCOCK ST
Queens,56-047,56 DRIVE
Queens,107-22,WALTHAM ST
Brooklyn,8809,16 AVENUE
Manhattan,127,WEST 109 STREET
Staten Island,62,ERIKA LOOP
Brooklyn,1625,EAST  33 STREET
Queens,97-02,135 ROAD
Brooklyn,1,SOUTH ELLIOTT PLACE
Queens,111-12,166 ST
Queens,84-15,85 RD
Brooklyn,1341,84 STREET
Queens,67-74,GROTON ST
Brooklyn,634,MONROE STREET
Brooklyn,71,ELDERT ST
Brooklyn,8513,11 AV
Brooklyn,254,RUTLEDGE ST
Queens,-108,139 ST
Brooklyn,777,66 STREET
Queens,217-18,64 AVENUE
Brooklyn,1291,EAST 58 STREET
Queens,168-04,43 AVENUE
Manhattan,71,W 10 ST
Bronx,1246,MANOR AV
Brooklyn,160,TAPSCOTT ST
Queens,59-56,61 STREET
Brooklyn,697,E 18 ST
Queens,81-19,159 AVENUE
Brooklyn,845,ROCKAWAY AV
Queens,143-55,38 AV
Queens,89-01,201 STREET
Queens,146-53,230 STREET
Queens,144-7,168 ST
Manhattan,2722,BROADWAY
Queens,119-20,107 AVENUE
Queens,98-11,197 STREET
Queens,38-24,210 STREET
Queens,89-02,197 STREET
Queens,164-04,86 ROAD
Queens,217-69,KINGSBURY AVENUE
Brooklyn,290,EAST  57 STREET
Staten Island,698,HUGUENOT AV
Queens,15-47,200 STREET
Brooklyn,5159,GLENWOOD ROAD
Queens,82-99,DONCASTER PL
Brooklyn,60,28 AVENUE
Brooklyn,232,COURT STREET
Brooklyn,1480,EAST  45 STREET
Queens,147-35,GLASSBORO AV
Queens,132,BEACH 102 ST
Queens,148-19,LIBERTY AVENUE
Brooklyn,109,WALTON ST
Queens,94-35,85 ROAD
Brooklyn,1863,BROADWAY
Brooklyn,372,15 STREET
Queens,70-59,53 DR
Queens,26-34,213 STREET
Queens,150-33,24 ROAD
Brooklyn,615,11 STREET
Brooklyn,193,PROSPECT PARK W
Manhattan,692,WEST 114 STREET
Bronx,663,W 236 ST
Brooklyn,489,CLARKSON AV
Brooklyn,6201,15 AVENUE
Queens,83-40,DANIELS ST
Brooklyn,5608,AVENUE T
Manhattan,2280,FREDERICK DOUGLASS BOULEVARD
Queens,160-01,LIBERTY AV
Queens,149-32,117 STREET
Queens,21-60,UTOPIA PARKWAY
Queens,67-21,HARROW ST
Brooklyn,155,BAY STREET
Brooklyn,450,ARGYLE ROAD
Queens,33-32,28 ST
Staten Island,47,EVA AV
Queens,59-13,56 STREET
Queens,135-17,96 PLACE
Queens,146-42,15 AVENUE
Queens,150-66,ROCKAWAY BLVD
Queens,105-5,160 ST
Queens,61-57,69 LANE
Queens,9-16,MAIN AVENUE
Brooklyn,750,59 STREET
Brooklyn,2058,MILL AVENUE
Queens,83-09,TALBOT STREET
Brooklyn,2338,E 17 ST
Queens,135-11,62 AVENUE
Queens,40-14,157 STREET
Brooklyn,1856,PARK PLACE
Brooklyn,85,DAHLGREN PL
Brooklyn,5701,AV D
Queens,146-14,229 STREET
Queens,150-41,77 RD
Brooklyn,1951,E 32 STREET
Brooklyn,5222,14 AVENUE
Queens,67-11,211 STREET
Manhattan,25,NAGLE AVENUE
Brooklyn,2993,FLATBUSH AV
Queens,36-40,168 STREET
Queens,153-01,78 ROAD
Brooklyn,8889,15 AVENUE
Queens,175-37,175 PL
Queens,158-03,86 STREET
Queens,221-79,UNION TP
Queens,26-15,COLLEGE PT BLVD
Queens,60-34,PUTNAM AV
Queens,70-30,70 STREET
Queens,65-31,52 AV
Queens,88-18,179 STREET
Queens,74-23,85 DRIVE
Queens,83-33,AUSTIN STREET
Brooklyn,811,66 STREET
Brooklyn,8287,7 AV
Queens,146-23,SHORE AV
Brooklyn,2705,GLENWOOD ROAD
Brooklyn,8926,AV J
Queens,69-33,169 ST
Queens,64-54,218 STREET
Brooklyn,155,BAY STREET
Queens,135-27,37 AVENUE
Brooklyn,333,VAN BUREN ST
Queens,174-53,SAYRES AV
Queens,507,BEACH 127 STREET
Queens,163-12,91 STREET
Queens,165-17,JEWEL AV
Bronx,556,E 169 ST
Brooklyn,892,66 ST
Queens,160-17,28 AVENUE
Queens,54-34,ARNOLD AVENUE
Queens,89-40,121 STREET
Queens,59-02,COOPER AVENUE
Brooklyn,617,RUTLAND ROAD
Queens,25-70,ULMER ST
Queens,90-51,NORTH CONDUIT AVENUE
Staten Island,68,ERIKA LOOP
Queens,159-15,90 STREET
Queens,8,56 RD
Queens,26-19,200 STREET
Brooklyn,1849,WEST  10 STREET
Bronx,2495,WILLIAMSBRIDGE RD
Brooklyn,875,E 92 ST
Brooklyn,137,DEKALB AVENUE
Queens,88-05,SUTTER AVENUE
Staten Island,16,ROWAN AV
Brooklyn,1155,EAST  35 STREET
Queens,69-73,JUNIPER BLVD SOUTH
Brooklyn,246,RIVERDALE AVENUE
Queens,133-29,83 STREET
Queens,149-01,JAMAICA AVENUE
Queens,69-56,KESSEL STREET
Brooklyn,8670,DITMAS AV
Staten Island,151,FINLAY AV
Queens,143-99,94 AV
Brooklyn,313,WEIRFIELD STREET
Brooklyn,2246,FULTON STREET
Queens,26-10,BAYSIDE LANE
Brooklyn,634,HALSEY ST
Queens,88-83,97 STREET
Queens,96-02,PLATTWOOD AVENUE
Brooklyn,1892,64 ST
Queens,74-001,220 ST
Queens,75-17,60 LANE
Queens,-88,193 ST
Queens,27-01,167 STREET
Staten Island,543,SEAVIEW AVENUE
Brooklyn,599,HALSEY STREET
Queens,91-41,71 AV
Brooklyn,181,CHAUNCEY STREET
Queens,138-50,HOOVER AV
Queens,172-30,HENLEY RD
Queens,27-41,168 STREET
Brooklyn,1637,ATLANTIC AV
Brooklyn,417,JUNIUS STREET
Queens,64-07,COOPER AVENUE
Queens,77-10,BELMONT AVENUE
Brooklyn,674,49 ST
Brooklyn,610,CORTELYOU RD
Queens,36-14,165 STREET
Brooklyn,112,WASHINGTON AVENUE
Brooklyn,66,BAY 10 STREET
Bronx,4304,DE REIMER AVENUE
Brooklyn,7817,12 AVENUE
Queens,227-72,56 AV
Brooklyn,1382,EAST  48 STREET
Queens,149-43,17 ROAD
Queens,166-11,26 AVENUE
Queens,93-03,ROOSEVELT AVENUE
Queens,46-12,SPRINGFIELD BOULEVARD
Queens,85-32,114 STREET
Brooklyn,174,MONTGOMERY STREET
Queens,96-01,133 AVENUE
Queens,92-81,168 ST
Brooklyn,941,EAST 43 STREET
Brooklyn,1819,E 53 ST
Queens,77-55,ATLANTIC AVENUE
Brooklyn,161,LEWIS AV
Queens,71-36,INGRAM STREET
Brooklyn,34,CONKLIN AVENUE
Brooklyn,660,EAST  98 STREET
Queens,85-37,211 STREET
Brooklyn,719,WESTMINSTER RD
Queens,38-04,PRINCE STREET
Brooklyn,1620,72 STREET
Staten Island,2,BRIELLE AVENUE
Queens,164-28,TUSKEGEE AIRMAN WAY
Queens,133-13,SITKA STREET
Brooklyn,345,WAVERLY AVENUE
Queens,139-11,ROCKAWAY BEACH BOULEVARD
Brooklyn,2039,EAST  59 STREET
Queens,-26,37 ST
Brooklyn,548,3 ST
Queens,184-06,89 AVENUE
Queens,78-20,223 STREET
Queens,84-29,169 STREET
Queens,85-25,61 ROAD
Queens,94-10,133 AVENUE
Brooklyn,9105,KINGS HIGHWAY
Brooklyn,150,LINDEN ST
Brooklyn,2574,WEST  16 STREET
Staten Island,3323,VICTORY BLVD
Queens,140-26,CHERRY AVENUE
Brooklyn,1414,80 STREET
Brooklyn,162,WEIRFIELD ST
Queens,179-01,90 AVENUE
Brooklyn,58,E 43 ST
Brooklyn,72,E 43 ST
Queens,33-3,29 ST
Brooklyn,220,E 23 ST
Brooklyn,2227,EAST 7 STREET
Queens,0PP.97-22,82 ST
Queens,60-01,69 PLACE
Queens,104-06,150 ST
Queens,96-5,ALBERT RD
Brooklyn,8012,13 AVENUE
Queens,146-72,GUY R BREWER BLVD
Brooklyn,872,GATES AVENUE
Brooklyn,2101,EAST  4 STREET
Queens,419,BEACH 131 STREET
Queens,160-60,25 DRIVE
Queens,52-54,68 ST
Queens,27-42,168 STREET
Queens,-53,216 ST
Brooklyn,5100,15 AVENUE
Queens,159-44,80 STREET
Queens,86-02,SUTTER AVENUE
Brooklyn,7402,13 AVENUE
Queens,109-02,SUTPHIN BOULEVARD
Brooklyn,30,MALCOLM X BLVD
Queens,209-44,27 AVENUE
Queens,58-39,219 STREET
Brooklyn,1871,ROCKAWAY PARKWAY
Queens,179-01,90 AVENUE
Brooklyn,3926,16 AVENUE
Brooklyn,194,BAY 14 ST
Brooklyn,681,LENOX ROAD
Queens,70-011,69 PL
Brooklyn,6741,AVENUE U
Queens,85-26,218 STREET
Brooklyn,1026,37 ST
Brooklyn,776,66 ST
Brooklyn,131,BAY 14 ST
Brooklyn,913,EAST  35 STREET
Queens,132-33,AVERY AV
Queens,25,MAIN ST
Queens,61-049,56 ROAD
Queens,145-52,181 STREET
Brooklyn,3104,KINGS HWY
Queens,228-18,146 AVENUE
Staten Island,66,SEGUINE PL
Manhattan,256,W 4 ST
Staten Island,203,WESTFIELD AVENUE
Brooklyn,728,HANCOCK ST
Queens,218-95,67 AV
Brooklyn,1777,TROY AVENUE
Queens,107-50,166 STREET
Brooklyn,162,SOMERS ST
Queens,248-20,54 AVENUE
Brooklyn,529,MAPLE ST
Queens,89-71,195 PLACE
Queens,87-77,94 STREET
Brooklyn,853,ROCKAWAY AVENUE
Brooklyn,2290,E 71 ST
Brooklyn,2123,E 37 ST
Brooklyn,878,65 STREET
Brooklyn,1168,EAST 46 STREET
Brooklyn,333,SCHERMERHORN ST
Queens,90-81,NORTH CONDUIT AVENUE
Brooklyn,391,BAY 13 ST
Queens,211-16,UNION TURNPIKE
Queens,89-16,184 STREET
Brooklyn,1923,BAY RIDGE PKWY
Queens,22-15,127 STREET
Queens,153-36,80 STREET
Brooklyn,1886,E 22 ST
Manhattan,114,MADISON AV
Queens,90-27,107 AV
Queens,160-44,81 STREET
Queens,90-12,SPRITZ RD
Brooklyn,287,DECATUR ST
Brooklyn,148,ROCKAWAY PARKWAY
Queens,151-25,WILLETS POINT BOULEVARD
Brooklyn,610,LOUISIANA AV
Queens,36-001,DITMARS BOULEVARD
Queens,21-18,UTOPIA PARKWAY
Brooklyn,84,ROSS STREET
Queens,147-52,78 AV
Queens,155-34,79 STREET
Queens,60-38,76 STREET
Queens,89-32,182 PLACE
Queens,107-34,LIVERPOOL STREET
Brooklyn,1613,ST MARKS AVENUE
Queens,22-69,42 ST
Queens,88-30,214 ST
Queens,77-46,VLEIGH PLACE
Queens,71-06,KISSENA BOULEVARD
Queens,56-61,220 STREET
Queens,90-29,153 STREET
Brooklyn,1286,E 53 ST
Brooklyn,4824,AVENUE J
Queens,184-35,144 RD
Brooklyn,1065,NOSTRAND AV
Queens,132-011,135 AVENUE
Queens,72-70,CENTRAL AV
Queens,111-36,179 STREET
Brooklyn,589,E 87 ST
Brooklyn,148,S 3 ST
Queens,60-27,FRESH POND ROAD
Queens,146-19,SHORE AV
Queens,104-15,165 STREET
Brooklyn,1810,CORTELYOU ROAD
Staten Island,234,HAMDEN AV
Queens,55-87,METROPOLITAN AV
Queens,211-06,29 AVENUE
Brooklyn,1270,79 ST
Brooklyn,4723,AVENUE J
Queens,62-16,138 STREET
Brooklyn,21,STATE STREET
Brooklyn,1597,LINDEN BOULEVARD
Brooklyn,1458,66 STREET
Queens,-130,28 AV
Queens,62-07,84 STREET
Queens,146-11,230 PL
Queens,164-8,46 AV
Queens,77-05,86 STREET
Brooklyn,245,RIVERDALE AVENUE
Brooklyn,130,WASHINGTON AVENUE
Brooklyn,1771,KIMBALL STREET
Manhattan,270,WEST 132 STREET
Manhattan,55,MORTON STREET
Staten Island,2,HEANEY AV
Brooklyn,1350,EAST  31 STREET
Queens,64-62,LAUREL HILL BLVD
Bronx,2452,WOODHULL AVENUE
Queens,141-05,70 ROAD
Queens,114,MALBA DRIVE
Queens,61-049,56 DRIVE
Queens,85-11,150 STREET
Queens,94-47,SUTTER AVENUE
Staten Island,295,MALDEN PLACE
Queens,48-89,VERNON BLVD
Queens,63-16,72 STREET
Brooklyn,1051,E 31 ST
Queens,199-41,89 AV
Brooklyn,1222,DECATUR STREET
Queens,-56,SPRINGFIELD BLVD
Brooklyn,1809,ALBANY AVENUE
Brooklyn,5486,AV O
Staten Island,6,VON BRAUN AVENUE
Queens,82-56,215 STREET
Queens,158-49,88 STREET
Brooklyn,980,LENOX ROAD
Queens,102-041,86 STREET
Queens,109-15,98 STREET
Queens,72-06,69 STREET
Queens,59-48,58 ROAD
Brooklyn,501,E 4 ST
Brooklyn,1187,78 ST
Brooklyn,2034,COYLE STREET
Queens,35-57,169 STREET
Queens,69-14,61 ROAD
Queens,60-05,171 STREET
Queens,183-017,91 AVENUE
Staten Island,56,ERIKA LOOP
Brooklyn,1730,CARROLL STREET
Brooklyn,14,HILLEL PLACE
Queens,-50,230 ST
Brooklyn,1458,JEFFERSON AV
Queens,98-17,164 AVENUE
Brooklyn,3026,AV L
Queens,54-32,64 STREET
Queens,126-54,109 AV
Brooklyn,1370,48 STREET
Queens,64-26,79 STREET
Brooklyn,1923,76 STREET
Brooklyn,285,TROUTMAN STREET
Brooklyn,1037,81 ST
Queens,26-26,14 STREET
Brooklyn,430,MIDWOOD STREET
Brooklyn,2262,85 STREET
Queens,22-87,46 ST
Brooklyn,1383,67 ST
Staten Island,48,CHESEBROUGH STREET
Bronx,4176,MONTICELLO AV
Manhattan,44,W 93 ST
Queens,46-20,216 STREET
Queens,31-74,44 STREET
Brooklyn,671,GATES AVENUE
Queens,137-03,75 RD
Queens,61-31,228 STREET
Queens,147-41,76 AV
Queens,164-37,WILLETS POINT BOULEVARD
Bronx,4119,PAULDING AV
Queens,214-12,46 AVENUE
Queens,80-11,ELIOT AVENUE
Queens,33-41,JORDAN ST
Brooklyn,178,WASHINGTON PARK
Queens,139-19,87 AVENUE
Brooklyn,2109,CAMPUS ROAD
Staten Island,73,DALEMERE ROAD
Brooklyn,626,MAC DONOUGH ST
Queens,97-46,92 STREET
Bronx,863,E 165 ST
Queens,62-12,69 PLACE
Queens,NA,COPERNICUS TRIANGLE
Queens,86-83,107 AV
Queens,81-10,155 AVENUE
Queens,83-45,PENELOPE AVENUE
Queens,243-12,RUSHMORE AVENUE
Queens,252-66,LEITH RD
Queens,173-02,93 AVENUE
Brooklyn,113,ROCKAWAY PKWY
Queens,108-7,164 PL
Queens,81-01,133 AVENUE
Queens,27-03,FRANCIS LEWIS BOULEVARD
Queens,150-29,24 ROAD
Queens,88-62,55 AV
Queens,67-30,173 STREET
Brooklyn,221,BAINBRIDGE ST
Queens,75-40,61 STREET
Brooklyn,4689,BEDFORD AV
Queens,89-33,117 STREET
Queens,109-89,160 STREET
Queens,23-11,206 STREET
Queens,94-50,158 STREET
Queens,64-14,137 STREET
Queens,59-25,72 STREET
Queens,202-16,CROSS ISLE PKWY SR S
Brooklyn,213,SUMPTER ST
Brooklyn,1649,EASTERN PKWY
Queens,13-03,GIPSON STREET
Queens,93-10,ROCKAWAY BOULEVARD
Brooklyn,1373,71 ST
Brooklyn,262,THROOP AV
Brooklyn,1202,DECATUR STREET
Queens,36-49,204 STREET
Queens,-151,SHORE AV
Brooklyn,933,70 STREET
Queens,82-11,DONCASTER PLACE
Queens,88-016,SPRITZ ROAD
Brooklyn,1532,86 STREET
Staten Island,55,POPLAR AVENUE
Brooklyn,8886,16 AVENUE
Brooklyn,1212,E 68 ST
Brooklyn,4823,AVENUE K
Brooklyn,423,RUGBY RD
Staten Island,148,ASPINWALL ST
Brooklyn,945,81 ST
Queens,28-47,HOBART STREET
Queens,160-02,LIBERTY AVENUE
Queens,57-74,69 PL
